"id";"vehicle_mark_id";mark_name;vehicle_range_id;range_name;name
"2";"2";"Abarth";"0";;"Abarth 124"
"3";"2";"Abarth";"0";;"Abarth Grande Punto"
"4";"2";"Abarth";"0";;"Abarth Punto Evo"
"18";"8";"Aiways";"0";;"Aiways U5"
"36";"12";"Alfa Romeo";"0";;"Alfa Romeo 145"
"37";"12";"Alfa Romeo";"0";;"Alfa Romeo 146"
"41";"12";"Alfa Romeo";"0";;"Alfa Romeo 166"
"46";"12";"Alfa Romeo";"0";;"Alfa Romeo Brera"
"48";"12";"Alfa Romeo";"0";;"Alfa Romeo Gtv"
"58";"14";"Alpina";"0";;"Alpina B12"
"65";"15";"Alpine";"0";;"Alpine Gta"
"89";"26";"Aston Martin";"0";;"Aston Martin Vanquish 3"
"90";"26";"Aston Martin";"0";;"Aston Martin Dbx"
"91";"26";"Aston Martin";"0";;"Aston Martin Rapide"
"94";"26";"Aston Martin";"0";;"Aston Martin Cygnet"
"102";"27";"Audi";"0";;"Audi E-tron"
"103";"27";"Audi";"0";;"Audi E-tron Gt"
"104";"27";"Audi";"0";;"Audi E-tron Sportback"
"105";"27";"Audi";"0";;"Audi Q2"
"106";"27";"Audi";"0";;"Audi Q8"
"107";"27";"Audi";"0";;"Audi Rs Q8"
"108";"27";"Audi";"0";;"Audi Sq2"
"109";"27";"Audi";"0";;"Audi Sq8"
"115";"27";"Audi";"0";;"Audi Allroad"
"156";"35";"Bentley";"0";;"Bentley Arnage"
"157";"35";"Bentley";"0";;"Bentley Azure"
"171";"40";"Bmw";"0";;"Bmw I3"
"172";"40";"Bmw";"0";;"Bmw I4"
"173";"40";"Bmw";"0";;"Bmw Ix"
"174";"40";"Bmw";"0";;"Bmw Ix3"
"175";"40";"Bmw";"0";;"Bmw X7"
"192";"40";"Bmw";"0";;"Bmw Serie 3 Gt"
"193";"40";"Bmw";"0";;"Bmw Serie 5 Gt"
"195";"40";"Bmw";"0";;"Bmw Z8"
"196";"41";"Bollore";"0";;"Bollore Bluesummer"
"197";"41";"Bollore";"0";;"Bollore Bluecar"
"247";"55";"Cadillac";"0";;"Cadillac Sts"
"248";"55";"Cadillac";"0";;"Cadillac Xlr"
"255";"61";"Caterham";"0";;"Caterham Super Seven"
"270";"66";"Chevrolet";"0";;"Chevrolet Alero"
"273";"66";"Chevrolet";"0";;"Chevrolet Blazer"
"277";"66";"Chevrolet";"0";;"Chevrolet Captiva"
"282";"66";"Chevrolet";"0";;"Chevrolet Epica"
"284";"66";"Chevrolet";"0";;"Chevrolet Evanda"
"288";"66";"Chevrolet";"0";;"Chevrolet Kalos"
"289";"66";"Chevrolet";"0";;"Chevrolet Lacetti"
"292";"66";"Chevrolet";"0";;"Chevrolet Rezzo"
"294";"66";"Chevrolet";"0";;"Chevrolet Spark"
"297";"66";"Chevrolet";"0";;"Chevrolet Tahoe"
"298";"66";"Chevrolet";"0";;"Chevrolet Trailblazer"
"299";"66";"Chevrolet";"0";;"Chevrolet Trans Sport"
"300";"66";"Chevrolet";"0";;"Chevrolet Trax"
"302";"66";"Chevrolet";"0";;"Chevrolet Volt"
"307";"68";"Chrysler";"0";;"Chrysler 300 M"
"316";"69";"Citroen";"0";;"Citroen C-elysee"
"317";"69";"Citroen";"0";;"Citroen C3 Aircross"
"318";"69";"Citroen";"0";;"Citroen C5 Aircross"
"320";"69";"Citroen";"0";;"Citroen Grand C4 Spacetourer"
"321";"69";"Citroen";"0";;"Citroen Spacetourer"
"327";"69";"Citroen";"0";;"Citroen C-crosser"
"328";"69";"Citroen";"0";;"Citroen C-zero"
"329";"69";"Citroen";"0";;"Citroen C3 Picasso"
"330";"69";"Citroen";"0";;"Citroen C3 Pluriel"
"332";"69";"Citroen";"0";;"Citroen C4 Aircross"
"333";"69";"Citroen";"0";;"Citroen C4 Spacetourer"
"334";"69";"Citroen";"0";;"Citroen C6"
"335";"69";"Citroen";"0";;"Citroen C8"
"337";"69";"Citroen";"0";;"Citroen Ds5"
"338";"69";"Citroen";"0";;"Citroen E-mehari"
"339";"69";"Citroen";"0";;"Citroen Evasion"
"343";"69";"Citroen";"0";;"Citroen Picasso"
"348";"75";"Cupra";"0";;"Cupra Born"
"349";"75";"Cupra";"0";;"Cupra Ateca"
"351";"75";"Cupra";"0";;"Cupra Formentor"
"353";"76";"Dacia";"0";;"Dacia Spring"
"355";"77";"Daewoo";"0";;"Daewoo Evanda"
"356";"77";"Daewoo";"0";;"Daewoo Kalos"
"357";"77";"Daewoo";"0";;"Daewoo Lacetti"
"358";"77";"Daewoo";"0";;"Daewoo Leganza"
"359";"77";"Daewoo";"0";;"Daewoo Matiz"
"360";"77";"Daewoo";"0";;"Daewoo Musso"
"361";"77";"Daewoo";"0";;"Daewoo Rexton"
"362";"77";"Daewoo";"0";;"Daewoo Rezzo"
"385";"79";"Daihatsu";"0";;"Daihatsu Copen"
"386";"79";"Daihatsu";"0";;"Daihatsu Cuore"
"390";"79";"Daihatsu";"0";;"Daihatsu Materia"
"391";"79";"Daihatsu";"0";;"Daihatsu Move"
"393";"79";"Daihatsu";"0";;"Daihatsu Trevis"
"394";"79";"Daihatsu";"0";;"Daihatsu Yrv"
"434";"89";"De Tomaso";"0";;"De Tomaso Guara"
"447";"96";"Dodge";"0";;"Dodge Avenger"
"448";"96";"Dodge";"0";;"Dodge Caliber"
"452";"96";"Dodge";"0";;"Dodge Journey"
"453";"96";"Dodge";"0";;"Dodge Magnum"
"455";"96";"Dodge";"0";;"Dodge Nitro"
"468";"101";"Ds";"0";;"Ds Ds 3 Crossback"
"469";"101";"Ds";"0";;"Ds Ds 7 Crossback"
"470";"101";"Ds";"0";;"Ds Ds 9"
"471";"101";"Ds";"0";;"Ds Ds 4 Crossback"
"472";"101";"Ds";"0";;"Ds Ds 5"
"486";"113";"Fam Automobiles";"0";;"Fam Automobiles F-city"
"489";"116";"Ferrari";"0";;"Ferrari 812"
"490";"116";"Ferrari";"0";;"Ferrari Gtc4lusso"
"491";"116";"Ferrari";"0";;"Ferrari Portofino"
"492";"116";"Ferrari";"0";;"Ferrari Roma"
"493";"116";"Ferrari";"0";;"Ferrari Sf90 Stradale"
"500";"116";"Ferrari";"0";;"Ferrari 456"
"501";"116";"Ferrari";"0";;"Ferrari 512"
"502";"116";"Ferrari";"0";;"Ferrari 612"
"504";"116";"Ferrari";"0";;"Ferrari F12"
"508";"116";"Ferrari";"0";;"Ferrari Ff"
"511";"116";"Ferrari";"0";;"Ferrari Testarossa"
"517";"117";"Fiat";"0";;"Fiat Barchetta"
"518";"117";"Fiat";"0";;"Fiat Coupe"
"519";"117";"Fiat";"0";;"Fiat Fullback"
"520";"117";"Fiat";"0";;"Fiat Qubo"
"522";"117";"Fiat";"0";;"Fiat X1/9"
"526";"120";"Ford";"0";;"Ford Explorer"
"528";"120";"Ford";"0";;"Ford Grand Tourneo Connect"
"529";"120";"Ford";"0";;"Ford Mustang Mach-e"
"530";"120";"Ford";"0";;"Ford Tourneo Courier"
"531";"120";"Ford";"0";;"Ford Transit Courier"
"536";"120";"Ford";"0";;"Ford B-max"
"543";"120";"Ford";"0";;"Ford Cougar"
"546";"120";"Ford";"0";;"Ford Edge"
"551";"120";"Ford";"0";;"Ford Focus C-max"
"552";"120";"Ford";"0";;"Ford Fusion"
"553";"120";"Ford";"0";;"Ford Grand C-max"
"575";"128";"Ginetta";"0";;"Ginetta G33"
"601";"143";"Hommell";"0";;"Hommell Berlinette"
"603";"144";"Honda";"0";;"Honda E"
"606";"144";"Honda";"0";;"Honda Cr-z"
"607";"144";"Honda";"0";;"Honda Ev"
"608";"144";"Honda";"0";;"Honda Fr-v"
"609";"144";"Honda";"0";;"Honda Integra"
"610";"144";"Honda";"0";;"Honda Logo"
"615";"144";"Honda";"0";;"Honda S2000"
"616";"144";"Honda";"0";;"Honda Shuttle"
"617";"144";"Honda";"0";;"Honda Stream"
"634";"149";"Hummer";"0";;"Hummer H2"
"635";"149";"Hummer";"0";;"Hummer H3"
"636";"150";"Hyundai";"0";;"Hyundai Ioniq 6"
"637";"150";"Hyundai";"0";;"Hyundai Bayon"
