"id";"vehicle_mark_id";"mark_name";"name"
"1";"2";"Abarth";"Abarth 500"
"3";"12";"Alfa Romeo";"Alfa Romeo Giulia"
"4";"12";"Alfa Romeo";"Alfa Romeo Giulietta"
"5";"12";"Alfa Romeo";"Alfa Romeo Stelvio"
"6";"12";"Alfa Romeo";"Alfa Romeo 147"
"7";"12";"Alfa Romeo";"Alfa Romeo 156"
"8";"12";"Alfa Romeo";"Alfa Romeo 159"
"13";"12";"Alfa Romeo";"Alfa Romeo 4c"
"18";"12";"Alfa Romeo";"Alfa Romeo Gt"
"19";"12";"Alfa Romeo";"Alfa Romeo Mito"
"20";"12";"Alfa Romeo";"Alfa Romeo Spider"
"21";"14";"Alpina";"Alpina B3"
"27";"15";"Alpine";"Alpine A110"
"39";"26";"Aston Martin";"Aston Martin Db11"
"40";"26";"Aston Martin";"Aston Martin Dbs"
"41";"26";"Aston Martin";"Aston Martin V12 Vantage"
"42";"26";"Aston Martin";"Aston Martin V8 Vantage"
"43";"26";"Aston Martin";"Aston Martin Vanquish"
"47";"26";"Aston Martin";"Aston Martin Db9"
"50";"26";"Aston Martin";"Aston Martin Virage"
"52";"27";"Audi";"Audi A1"
"53";"27";"Audi";"Audi A3"
"54";"27";"Audi";"Audi A4"
"55";"27";"Audi";"Audi A4 Allroad"
"56";"27";"Audi";"Audi A5"
"57";"27";"Audi";"Audi A6"
"58";"27";"Audi";"Audi A6 Allroad"
"59";"27";"Audi";"Audi A7"
"60";"27";"Audi";"Audi A8"
"61";"27";"Audi";"Audi Q3"
"62";"27";"Audi";"Audi Q4"
"63";"27";"Audi";"Audi Q5"
"65";"27";"Audi";"Audi R8"
"68";"27";"Audi";"Audi Rs4"
"70";"27";"Audi";"Audi Rs6"
"75";"27";"Audi";"Audi S6"
"79";"27";"Audi";"Audi Tt"
"80";"27";"Audi";"Audi Tt Rs"
"81";"27";"Audi";"Audi Tts"
"86";"27";"Audi";"Audi A2"
"88";"27";"Audi";"Audi S1"
"89";"27";"Audi";"Audi S8"
"95";"35";"Bentley";"Bentley Continental"
"96";"35";"Bentley";"Bentley Flying Spur"
"99";"35";"Bentley";"Bentley Mulsanne"
"102";"40";"Bmw";"Bmw I8"
"103";"40";"Bmw";"Bmw Serie 1"
"104";"40";"Bmw";"Bmw Serie 2"
"105";"40";"Bmw";"Bmw Serie 3"
"106";"40";"Bmw";"Bmw Serie 4"
"107";"40";"Bmw";"Bmw Serie 5"
"108";"40";"Bmw";"Bmw Serie 6"
"109";"40";"Bmw";"Bmw Serie 7"
"110";"40";"Bmw";"Bmw Serie 8"
"111";"40";"Bmw";"Bmw Serie 8 Gran Coupe"
"112";"40";"Bmw";"Bmw X1"
"113";"40";"Bmw";"Bmw X2"
"114";"40";"Bmw";"Bmw X3"
"115";"40";"Bmw";"Bmw X4"
"116";"40";"Bmw";"Bmw X5"
"117";"40";"Bmw";"Bmw X6"
